,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG90,PrgC90,PrgP90,club_name,club_id,lge
0,David de Gea,es ESP,GK,32-189,54,54,4890,54.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,Manchester-United,10260,epl
1,Bruno Fernandes,pt POR,"MF,FW",28-249,55,54,4808,53.4,11,13,24,9,2,2,12,0,10.0,9.2,20.6,29.8,103,306,282,0.21,0.24,0.45,0.17,0.41,0.23,0.47,0.70,0.21,0.68,1.93,5.73,Manchester-United,10260,epl
2,Marcus Rashford,eng ENG,FW,25-196,53,44,4059,45.1,29,9,38,28,1,1,2,0,18.8,18.8,4.0,22.7,102,94,293,0.64,0.20,0.84,0.62,0.82,0.51,0.11,0.62,0.51,0.62,2.26,2.08,Manchester-United,10260,epl
3,Casemiro,br BRA,MF,31-081,47,39,3561,39.6,5,6,11,5,0,0,13,2,4.3,4.3,3.8,8.1,26,208,53,0.13,0.15,0.28,0.13,0.28,0.13,0.12,0.25,0.13,0.25,0.66,5.25,Manchester-United,10260,epl
4,Luke Shaw,eng ENG,DF,27-307,44,37,3421,38.0,1,6,7,1,0,0,12,0,1.1,1.1,4.6,5.7,70,162,97,0.03,0.16,0.18,0.03,0.18,0.03,0.14,0.18,0.03,0.18,1.84,4.26,Manchester-United,10260,epl
5,Lisandro Martínez,ar ARG,DF,25-117,45,38,3409,37.9,1,0,1,1,0,0,10,0,0.7,0.7,0.8,1.5,30,128,2,0.03,0.00,0.03,0.03,0.03,0.02,0.02,0.05,0.02,0.05,0.79,3.38,Manchester-United,10260,epl
6,Diogo Dalot,pt POR,DF,24-058,41,37,3152,35.0,2,2,4,2,0,0,8,0,2.7,2.7,3.0,5.7,64,137,108,0.06,0.06,0.11,0.06,0.11,0.09,0.10,0.19,0.09,0.19,1.83,3.91,Manchester-United,10260,epl
7,Antony,br BRA,FW,23-080,42,37,2979,33.1,8,3,11,8,0,0,8,0,8.3,8.3,4.3,12.6,115,98,235,0.24,0.09,0.33,0.24,0.33,0.32,0.17,0.49,0.32,0.49,3.47,2.96,Manchester-United,10260,epl
8,Christian Eriksen,dk DEN,MF,31-090,40,34,2820,31.3,2,9,11,2,0,0,3,0,4.3,4.3,5.4,9.7,37,213,78,0.06,0.29,0.35,0.06,0.35,0.16,0.20,0.37,0.16,0.37,1.18,6.81,Manchester-United,10260,epl
9,Tyrell Malacia,nl NED,DF,23-271,37,28,2553,28.4,0,0,0,0,0,0,8,0,0.7,0.7,1.1,1.8,40,89,63,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,1.41,3.13,Manchester-United,10260,epl
